ticker,fiscal_year,query_used,url,status,text_path,char_count,error,fetched_at_utc
RTX (RTX),2022,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\RTX (RTX)\FY2022.txt,63665,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.941685+00:00
RTX (RTX),2023,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\RTX (RTX)\FY2023.txt,63529,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.941924+00:00
RTX (RTX),2024,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\RTX (RTX)\FY2024.txt,62474,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.942255+00:00
RTX (RTX),2025,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\RTX (RTX)\FY2025.txt,58015,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.942431+00:00
AT&T (T),2020,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\AT&T (T)\FY2020.txt,68842,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.942595+00:00
AT&T (T),2021,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\AT&T (T)\FY2021.txt,63914,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.943220+00:00
AT&T (T),2022,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\AT&T (T)\FY2022.txt,68206,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.943379+00:00
AT&T (T),2023,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\AT&T (T)\FY2023.txt,60132,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.943556+00:00
AT&T (T),2024,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\AT&T (T)\FY2024.txt,60428,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.943897+00:00
AT&T (T),2025,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\AT&T (T)\FY2025.txt,66190,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.944035+00:00
COSTCO (COST),2020,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\COSTCO (COST)\FY2020.txt,83329,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.944160+00:00
COSTCO (COST),2021,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\COSTCO (COST)\FY2021.txt,55472,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.944387+00:00
COSTCO (COST),2022,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\COSTCO (COST)\FY2022.txt,60542,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.944970+00:00
COSTCO (COST),2023,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\COSTCO (COST)\FY2023.txt,62157,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.945202+00:00
COSTCO (COST),2024,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\COSTCO (COST)\FY2024.txt,60609,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.946279+00:00
